Typical Measured Spectrum of Semrock NF03-405/488/561/635E Optical Filter       	
"For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited."	
"For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. "	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)	
340	0.01417
340.2	0.01412
340.4	0.01423
340.6	0.01401
340.8	0.01412
341	0.01437
341.2	0.0143
341.4	0.01435
341.6	0.0145
341.8	0.01464
342	0.01462
342.2	0.01461
342.4	0.01469
342.6	0.01494
342.8	0.01487
343	0.01511
343.2	0.01499
343.4	0.01513
343.6	0.01502
343.8	0.01519
344	0.01529
344.2	0.01539
344.4	0.01559
344.6	0.01601
344.8	0.01656
345	0.02256
345.2	0.04299
345.4	0.07724
345.6	0.29043
345.8	0.57401
346	0.68059
346.2	0.73748
346.4	0.75915
346.6	0.77607
346.8	0.78377
347	0.79119
347.2	0.79551
347.4	0.80663
347.6	0.8085
347.8	0.81361
348	0.818
348.2	0.82301
348.4	0.82227
348.6	0.82776
348.8	0.82737
349	0.83227
349.2	0.83005
349.4	0.83319
349.6	0.83847
349.8	0.8404
350	0.84668
350.2	0.85038
350.4	0.85431
350.6	0.85817
350.8	0.86032
351	0.86376
351.2	0.86597
351.4	0.8657
351.6	0.86797
351.8	0.86888
352	0.87252
352.2	0.87362
352.4	0.87643
352.6	0.87588
352.8	0.8758
353	0.87853
353.2	0.88264
353.4	0.8801
353.6	0.88323
353.8	0.88682
354	0.88351
354.2	0.88659
354.4	0.89082
354.6	0.88882
354.8	0.89077
355	0.89359
355.2	0.89664
355.4	0.89635
355.6	0.89795
355.8	0.89962
356	0.89862
356.2	0.90519
356.4	0.9058
356.6	0.90504
356.8	0.90509
357	0.90725
357.2	0.90622
357.4	0.90724
357.6	0.91033
357.8	0.91069
358	0.91035
358.2	0.90866
358.4	0.91337
358.6	0.91204
358.8	0.91336
359	0.9132
359.2	0.91386
359.4	0.91571
359.6	0.91626
359.8	0.91814
360	0.91465
360.2	0.91697
360.4	0.92015
360.6	0.92024
360.8	0.92051
361	0.91991
361.2	0.92261
361.4	0.92182
361.6	0.92118
361.8	0.92215
362	0.92676
362.2	0.92336
362.4	0.9242
362.6	0.92512
362.8	0.92657
363	0.92894
363.2	0.92643
363.4	0.92378
363.6	0.92772
363.8	0.92418
364	0.92344
364.2	0.92439
364.4	0.92565
364.6	0.92558
364.8	0.92792
365	0.93013
365.2	0.93331
365.4	0.92967
365.6	0.93037
365.8	0.93343
366	0.93403
366.2	0.9325
366.4	0.9336
366.6	0.93455
366.8	0.9349
367	0.92998
367.2	0.93117
367.4	0.93619
367.6	0.93549
367.8	0.93383
368	0.93106
368.2	0.93121
368.4	0.93344
368.6	0.93546
368.8	0.93159
369	0.93429
369.2	0.93616
369.4	0.93103
369.6	0.92896
369.8	0.93178
370	0.93123
370.2	0.93235
370.4	0.9283
370.6	0.92748
370.8	0.92909
371	0.93436
371.2	0.9324
371.4	0.92833
371.6	0.93077
371.8	0.93397
372	0.93599
372.2	0.93454
372.4	0.93222
372.6	0.93288
372.8	0.93318
373	0.93121
373.2	0.92728
373.4	0.92629
373.6	0.92563
373.8	0.92864
374	0.9266
374.2	0.92411
374.4	0.92509
374.6	0.93111
374.8	0.93247
375	0.92866
375.2	0.92531
375.4	0.92286
375.6	0.92664
375.8	0.93217
376	0.93134
376.2	0.9309
376.4	0.92944
376.6	0.93025
376.8	0.92926
377	0.93147
377.2	0.93176
377.4	0.9348
377.6	0.93475
377.8	0.93236
378	0.9298
378.2	0.92981
378.4	0.93096
378.6	0.9369
378.8	0.93352
379	0.9316
379.2	0.9322
379.4	0.93466
379.6	0.93906
379.8	0.93833
380	0.93578
380.2	0.9328
380.4	0.93792
380.6	0.94021
380.8	0.93946
381	0.93505
381.2	0.93678
381.4	0.9389
381.6	0.93699
381.8	0.93507
382	0.93187
382.2	0.9343
382.4	0.93574
382.6	0.93673
382.8	0.93427
383	0.93152
383.2	0.93095
383.4	0.93461
383.6	0.93619
383.8	0.93281
384	0.93046
384.2	0.93464
384.4	0.93755
384.6	0.93711
384.8	0.93417
385	0.93087
385.2	0.93025
385.4	0.93475
385.6	0.93736
385.8	0.93598
386	0.93337
386.2	0.93477
386.4	0.9376
386.6	0.93892
386.8	0.93436
387	0.93025
387.2	0.9317
387.4	0.93658
387.6	0.93907
387.8	0.93987
388	0.93701
388.2	0.93539
388.4	0.93839
388.6	0.94121
388.8	0.93945
389	0.9394
389.2	0.93991
389.4	0.9454
389.6	0.94676
389.8	0.94271
390	0.93968
390.2	0.93874
390.4	0.93829
390.6	0.93601
390.8	0.9327
391	0.93428
391.2	0.93712
391.4	0.93718
391.6	0.93447
391.8	0.93667
392	0.93765
392.2	0.93518
392.4	0.92663
392.6	0.92528
392.8	0.93387
393	0.93703
393.2	0.92772
393.4	0.93107
393.6	0.93448
393.8	0.92674
394	0.90364
394.2	0.6997
394.4	0.27198
394.6	0.03913
394.8	0.00295
395	5.18E-04
395.2	2.08E-04
395.4	1.32E-04
395.6	9.64E-05
395.8	8.64E-05
396	6.46E-05
396.2	5.88E-06
396.4	2.81E-06
396.6	1.34E-06
396.8	1.22E-06
397	1.33E-06
397.2	1.03E-06
397.4	2.78E-07
397.6	2.20E-07
397.8	2.31E-07
398	2.40E-07
398.2	2.38E-07
398.4	2.36E-07
398.6	2.34E-07
398.8	2.66E-07
399	4.05E-07
399.2	6.18E-07
399.4	4.79E-07
399.6	3.07E-07
399.8	2.19E-07
400	2.17E-07
400.2	3.64E-07
400.4	6.79E-07
400.6	1.05E-06
400.8	1.04E-06
401	1.03E-06
401.2	4.45E-07
401.4	2.21E-07
401.6	2.87E-07
401.8	3.74E-07
402	3.95E-07
402.2	3.92E-07
402.4	3.89E-07
402.6	3.86E-07
402.8	3.07E-07
403	2.31E-07
403.2	1.88E-07
403.4	1.86E-07
403.6	1.84E-07
403.8	1.83E-07
404	1.98E-07
404.2	2.58E-07
404.4	3.36E-07
404.6	2.86E-07
404.8	2.15E-07
405	1.95E-07
405.2	3.12E-07
405.4	2.75E-07
405.6	2.07E-07
405.8	1.67E-07
406	1.66E-07
406.2	1.64E-07
406.4	1.63E-07
406.6	1.62E-07
406.8	1.60E-07
407	1.59E-07
407.2	2.20E-07
407.4	3.38E-07
407.6	3.90E-07
407.8	1.79E-07
408	1.54E-07
408.2	1.53E-07
408.4	1.52E-07
408.6	1.51E-07
408.8	1.50E-07
409	1.49E-07
409.2	1.62E-07
409.4	2.11E-07
409.6	2.75E-07
409.8	3.59E-07
410	4.67E-07
410.2	5.66E-07
410.4	5.62E-07
410.6	3.60E-07
410.8	2.07E-07
411	1.54E-07
411.2	2.36E-07
411.4	3.62E-07
411.6	6.27E-07
411.8	9.83E-07
412	1.13E-06
412.2	1.29E-06
412.4	2.07E-06
412.6	3.66E-06
412.8	1.63E-05
413	2.09E-04
413.2	2.63E-04
413.4	3.44E-04
413.6	4.99E-04
413.8	8.95E-04
414	0.00202
414.2	0.01632
414.4	0.24644
414.6	0.68842
414.8	0.8268
415	0.93441
415.2	0.92902
415.4	0.93557
415.6	0.94624
415.8	0.94694
416	0.94955
416.2	0.95763
416.4	0.95816
416.6	0.94661
416.8	0.94548
417	0.954
417.2	0.96645
417.4	0.96901
417.6	0.96533
417.8	0.96185
418	0.96532
418.2	0.96905
418.4	0.97058
418.6	0.96935
418.8	0.9692
419	0.96991
419.2	0.96953
419.4	0.96366
419.6	0.95505
419.8	0.95157
420	0.9552
420.2	0.96408
420.4	0.97055
420.6	0.97162
420.8	0.96739
421	0.96431
421.2	0.9644
421.4	0.96911
421.6	0.97237
421.8	0.97104
422	0.96715
422.2	0.96109
422.4	0.95876
422.6	0.96167
422.8	0.96842
423	0.97162
423.2	0.97109
423.4	0.9671
423.6	0.96501
423.8	0.96618
424	0.96932
424.2	0.97086
424.4	0.9702
424.6	0.96481
424.8	0.95869
425	0.95688
425.2	0.96028
425.4	0.96477
425.6	0.96935
425.8	0.96849
426	0.96573
426.2	0.96086
426.4	0.95948
426.6	0.9605
426.8	0.96503
427	0.96791
427.2	0.9682
427.4	0.96683
427.6	0.9623
427.8	0.96142
428	0.96412
428.2	0.96567
428.4	0.9672
428.6	0.96596
428.8	0.9615
429	0.95721
429.2	0.95496
429.4	0.95638
429.6	0.96045
429.8	0.9644
430	0.96596
430.2	0.96426
430.4	0.96134
430.6	0.95853
430.8	0.95972
431	0.96299
431.2	0.96571
431.4	0.96401
431.6	0.95878
431.8	0.95167
432	0.94679
432.2	0.94564
432.4	0.95044
432.6	0.95695
432.8	0.96338
433	0.96644
433.2	0.96371
433.4	0.95943
433.6	0.95549
433.8	0.95457
434	0.9569
434.2	0.96159
434.4	0.96497
434.6	0.96543
434.8	0.9631
435	0.96018
435.2	0.95857
435.4	0.95979
435.6	0.96235
435.8	0.96425
436	0.96529
436.2	0.96243
436.4	0.95855
436.6	0.95502
436.8	0.95354
437	0.95533
437.2	0.95924
437.4	0.96261
437.6	0.96277
437.8	0.9596
438	0.95541
438.2	0.95135
438.4	0.95078
438.6	0.95346
438.8	0.9574
439	0.96076
439.2	0.96118
439.4	0.95839
439.6	0.95429
439.8	0.95041
440	0.95006
440.2	0.95219
440.4	0.95604
440.6	0.96013
440.8	0.95969
441	0.95779
441.2	0.95401
441.4	0.9504
441.6	0.94963
441.8	0.95114
442	0.95495
442.2	0.95734
442.4	0.95835
442.6	0.95643
442.8	0.95242
443	0.94968
443.2	0.94832
443.4	0.95133
443.6	0.9556
443.8	0.95964
444	0.96096
444.2	0.96011
444.4	0.95625
444.6	0.95295
444.8	0.95096
445	0.95154
445.2	0.95563
445.4	0.95933
445.6	0.9618
445.8	0.96069
446	0.95738
446.2	0.95271
446.4	0.95004
446.6	0.94986
446.8	0.95227
447	0.95601
447.2	0.95881
447.4	0.96026
447.6	0.9592
447.8	0.95662
448	0.953
448.2	0.95164
448.4	0.95315
448.6	0.95606
448.8	0.96002
449	0.9616
449.2	0.96125
449.4	0.95846
449.6	0.95608
449.8	0.95434
450	0.95405
450.2	0.95583
450.4	0.95884
450.6	0.961
450.8	0.96126
451	0.95924
451.2	0.95612
451.4	0.95268
451.6	0.95195
451.8	0.95359
452	0.95671
452.2	0.95885
452.4	0.9609
452.6	0.95991
452.8	0.9579
453	0.95535
453.2	0.95281
453.4	0.95293
453.6	0.95532
453.8	0.95873
454	0.96072
454.2	0.96117
454.4	0.95936
454.6	0.95631
454.8	0.95369
455	0.95212
455.2	0.95197
455.4	0.9541
455.6	0.95667
455.8	0.95866
456	0.95897
456.2	0.9569
456.4	0.95554
456.6	0.95341
456.8	0.95262
457	0.95369
457.2	0.95487
457.4	0.95705
457.6	0.95765
457.8	0.957
458	0.95418
458.2	0.95082
458.4	0.95014
458.6	0.9514
458.8	0.95389
459	0.95759
459.2	0.96
459.4	0.96093
459.6	0.9595
459.8	0.95625
460	0.95454
460.2	0.9528
460.4	0.95386
460.6	0.9566
460.8	0.95979
461	0.96196
461.2	0.96229
461.4	0.95977
461.6	0.95637
461.8	0.95274
462	0.95131
462.2	0.95216
462.4	0.95475
462.6	0.95881
462.8	0.96226
463	0.9631
463.2	0.96039
463.4	0.95673
463.6	0.9531
463.8	0.95061
464	0.95172
464.2	0.95441
464.4	0.9582
464.6	0.96165
464.8	0.96248
465	0.96068
465.2	0.9567
465.4	0.95326
465.6	0.95124
465.8	0.95234
466	0.95477
466.2	0.95932
466.4	0.96295
466.6	0.96404
466.8	0.96203
467	0.9585
467.2	0.95383
467.4	0.95116
467.6	0.95118
467.8	0.95323
468	0.95801
468.2	0.9627
468.4	0.96573
468.6	0.96695
468.8	0.96539
469	0.96221
469.2	0.96045
469.4	0.96073
469.6	0.96149
469.8	0.96403
470	0.96638
470.2	0.96739
470.4	0.96525
470.6	0.96352
470.8	0.96083
471	0.95867
471.2	0.95985
471.4	0.96269
471.6	0.96496
471.8	0.96748
472	0.96793
472.2	0.96679
472.4	0.96463
472.6	0.96344
472.8	0.96282
473	0.96418
473.2	0.96584
473.4	0.96815
473.6	0.96757
473.8	0.96618
474	0.9619
474.2	0.95938
474.4	0.95958
474.6	0.96124
474.8	0.96457
475	0.9677
475.2	0.96866
475.4	0.96587
475.6	0.96224
475.8	0.95906
476	0.95872
476.2	0.96178
476.4	0.9661
476.6	0.96871
476.8	0.96734
477	0.96255
477.2	0.95845
477.4	0.95793
477.6	0.96151
477.8	0.96742
478	0.96898
478.2	0.96243
478.4	0.95301
478.6	0.9489
478.8	0.95568
479	0.96576
479.2	0.95628
479.4	0.92264
479.6	0.86741
479.8	0.70309
480	0.36495
480.2	0.11572
480.4	0.02518
480.6	0.0079
480.8	0.00295
481	0.00134
481.2	7.32E-04
481.4	4.62E-04
481.6	2.13E-04
481.8	5.31E-05
482	2.72E-05
482.2	1.68E-05
482.4	1.11E-05
482.6	6.93E-06
482.8	4.99E-06
483	3.22E-06
483.2	2.24E-06
483.4	1.56E-06
483.6	1.24E-06
483.8	1.39E-06
484	1.40E-06
484.2	8.94E-07
484.4	6.27E-07
484.6	6.98E-07
484.8	8.14E-07
485	7.97E-07
485.2	1.07E-06
485.4	5.48E-07
485.6	6.05E-07
485.8	3.73E-07
486	6.43E-07
486.2	6.24E-07
486.4	5.68E-07
486.6	3.19E-07
486.8	3.48E-07
487	1.70E-07
487.2	3.11E-07
487.4	6.69E-07
487.6	4.21E-07
487.8	6.78E-07
488	1.81E-07
488.2	6.28E-07
488.4	6.10E-07
488.6	8.13E-07
488.8	7.41E-07
489	7.64E-07
489.2	7.15E-07
489.4	5.75E-07
489.6	3.82E-07
489.8	5.37E-07
490	8.14E-07
490.2	7.47E-07
490.4	1.43E-06
490.6	1.51E-06
490.8	1.25E-06
491	1.88E-06
491.2	2.61E-06
491.4	3.02E-06
491.6	4.29E-06
491.8	6.70E-06
492	1.01E-05
492.2	1.53E-05
492.4	2.47E-05
492.6	4.17E-05
492.8	6.99E-05
493	1.32E-04
493.2	2.71E-04
493.4	0.00108
493.6	0.00188
493.8	0.00379
494	0.00914
494.2	0.02618
494.4	0.08885
494.6	0.31226
494.8	0.72174
495	0.84802
495.2	0.87204
495.4	0.91234
495.6	0.95029
495.8	0.9641
496	0.96016
496.2	0.95433
496.4	0.95392
496.6	0.95747
496.8	0.9609
497	0.96134
497.2	0.9603
497.4	0.95983
497.6	0.96184
497.8	0.96584
498	0.96938
498.2	0.97192
498.4	0.97135
498.6	0.96869
498.8	0.96496
499	0.96289
499.2	0.96298
499.4	0.96485
499.6	0.9681
499.8	0.97078
500	0.97162
500.2	0.97137
500.4	0.96927
500.6	0.96772
500.8	0.96716
501	0.96687
501.2	0.96882
501.4	0.97103
501.6	0.9733
501.8	0.97412
502	0.97388
502.2	0.97229
502.4	0.96983
502.6	0.96819
502.8	0.96705
503	0.96653
503.2	0.96753
503.4	0.96912
503.6	0.97081
503.8	0.97198
504	0.97249
504.2	0.9712
