Typical Measured Spectrum of Semrock Di03-R405/488/532/635 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)

345.0	0.01986
345.2	0.02641
345.4	0.02969
345.6	0.02716
345.8	0.01667
346.0	0.00559
346.2	0.00196
346.4	0.0025
346.6	0.00358
346.8	0.00416
347.0	0.00393
347.2	0.00304
347.4	0.00148
347.6	5.0212e-04
347.8	2.3762e-04
348.0	4.6208e-04
348.2	0.00119
348.4	0.00172
348.6	0.00185
348.8	0.00163
349.0	0.00114
349.2	2.9106e-04
349.4	1.0136e-04
349.6	1.0023e-04
349.8	9.8621e-05
350.0	9.7683e-05
350.2	9.6604e-05
350.4	9.6029e-05
350.6	9.5369e-05
350.8	9.524e-05
351.0	9.5826e-05
351.2	9.6883e-05
351.4	9.8101e-05
351.6	9.933e-05
351.8	1.0133e-04
352.0	1.0289e-04
352.2	1.048e-04
352.4	1.0591e-04
352.6	1.0632e-04
352.8	1.0664e-04
353.0	3.0142e-04
353.2	7.3254e-04
353.4	0.00117
353.6	0.00148
353.8	0.00152
354.0	0.00123
354.2	8.6091e-04
354.4	7.6889e-04
354.6	0.00142
354.8	0.00252
355.0	0.00319
355.2	0.00369
355.4	0.0038
355.6	0.00367
355.8	0.00381
356.0	0.00638
356.2	0.01209
356.4	0.01817
356.6	0.02259
356.8	0.0244
357.0	0.02372
357.2	0.02253
357.4	0.02156
357.6	0.0219
357.8	0.02158
358.0	0.01948
358.2	0.01505
358.4	0.00966
358.6	0.00577
358.8	0.00438
359.0	0.00459
359.2	0.00506
359.4	0.0052
359.6	0.00488
359.8	0.00388
360.0	0.00291
360.2	0.00188
360.4	0.00141
360.6	0.00163
360.8	0.00305
361.0	0.00702
361.2	0.01087
361.4	0.01269
361.6	0.01308
361.8	0.01149
362.0	0.00742
362.2	0.00357
362.4	0.00164
362.6	0.00149
362.8	0.00215
363.0	0.0038
363.2	0.0053
363.4	0.00652
363.6	0.00617
363.8	0.00524
364.0	0.00316
364.2	0.00123
364.4	5.9336e-04
364.6	3.2003e-04
364.8	3.3097e-04
365.0	4.8279e-04
365.2	7.4919e-04
365.4	0.00112
365.6	0.00171
365.8	0.00214
366.0	0.0026
366.2	0.00279
366.4	0.00296
366.6	0.00315
366.8	0.00345
367.0	0.00466
367.2	0.00601
367.4	0.00635
367.6	0.00627
367.8	0.00555
368.0	0.00396
368.2	0.00232
368.4	0.00128
368.6	9.0508e-04
368.8	8.6088e-04
369.0	0.00115
369.2	0.00179
369.4	0.00245
369.6	0.00271
369.8	0.00269
370.0	0.00235
370.2	0.00169
370.4	9.7938e-04
370.6	4.8313e-04
370.8	3.2256e-04
371.0	2.7772e-04
371.2	2.2493e-04
371.4	2.4541e-04
371.6	2.4998e-04
371.8	3.6179e-04
372.0	6.0838e-04
372.2	0.00142
372.4	0.0026
372.6	0.00375
372.8	0.00444
373.0	0.0045
373.2	0.00417
373.4	0.00323
373.6	0.00219
373.8	0.00168
374.0	0.00186
374.2	0.0026
374.4	0.00319
374.6	0.00359
374.8	0.00345
375.0	0.00311
375.2	0.00242
375.4	0.00152
375.6	9.1236e-04
375.8	6.258e-04
376.0	5.1954e-04
376.2	4.3154e-04
376.4	4.8495e-04
376.6	4.895e-04
376.8	6.9253e-04
377.0	0.00106
377.2	0.00174
377.4	0.00309
377.6	0.00443
377.8	0.00536
378.0	0.00572
378.2	0.00569
378.4	0.00494
378.6	0.00391
378.8	0.00273
379.0	0.00211
379.2	0.00178
379.4	0.0018
379.6	0.00211
379.8	0.00247
380.0	0.00301
380.2	0.00361
380.4	0.00397
380.6	0.00415
380.8	0.00401
381.0	0.00354
381.2	0.00297
381.4	0.00237
381.6	0.00206
381.8	0.00174
382.0	0.00164
382.2	0.00161
382.4	0.0017
382.6	0.00174
382.8	0.00179
383.0	0.0017
383.2	0.00154
383.4	0.00135
383.6	0.00123
383.8	9.9173e-04
384.0	7.9453e-04
384.2	6.1245e-04
384.4	5.4746e-04
384.6	4.9069e-04
384.8	5.3544e-04
385.0	5.5775e-04
385.2	6.4773e-04
385.4	7.9485e-04
385.6	0.00107
385.8	0.00134
386.0	0.00183
386.2	0.00219
386.4	0.00245
386.6	0.00269
386.8	0.00253
387.0	0.00245
387.2	0.00224
387.4	0.0021
387.6	0.00202
387.8	0.00212
388.0	0.00241
388.2	0.00291
388.4	0.00334
388.6	0.00372
388.8	0.00369
389.0	0.00342
389.2	0.00306
389.4	0.00252
389.6	0.00194
389.8	0.00153
390.0	0.00116
390.2	9.8338e-04
390.4	8.6801e-04
390.6	8.4703e-04
390.8	7.9569e-04
391.0	7.9204e-04
391.2	8.4361e-04
391.4	8.7126e-04
391.6	7.7089e-04
391.8	7.3884e-04
392.0	6.5769e-04
392.2	5.4124e-04
392.4	4.5246e-04
392.6	3.221e-04
392.8	2.5287e-04
393.0	2.0414e-04
393.2	1.5806e-04
393.4	1.2e-04
393.6	9.1481e-05
393.8	1.1141e-04
394.0	8.5528e-05
394.2	1.1476e-04
394.4	1.0315e-04
394.6	8.6852e-05
394.8	1.2451e-04
395.0	2.4794e-04
395.2	4.3794e-04
395.4	3.8198e-04
395.6	4.4449e-04
395.8	6.0725e-04
396.0	7.8409e-04
396.2	0.00129
396.4	0.00208
396.6	0.00267
396.8	0.00344
397.0	0.0038
397.2	0.00346
397.4	0.00292
397.6	0.00262
397.8	0.00195
398.0	0.00146
398.2	0.00115
398.4	9.4925e-04
398.6	9.0386e-04
398.8	9.4554e-04
399.0	0.00106
399.2	0.00117
399.4	0.00145
399.6	0.00171
399.8	0.00182
400.0	0.00198
400.2	0.00194
400.4	0.00191
400.6	0.00164
400.8	0.0013
401.0	0.00108
401.2	8.6226e-04
401.4	6.6335e-04
401.6	4.4772e-04
401.8	4.5215e-04
402.0	4.3855e-04
402.2	3.4147e-04
402.4	3.035e-04
402.6	4.2121e-04
402.8	5.2522e-04
403.0	5.1851e-04
403.2	5.6835e-04
403.4	6.9346e-04
403.6	7.618e-04
403.8	8.4287e-04
404.0	0.00103
404.2	9.2213e-04
404.4	0.00101
404.6	9.2487e-04
404.8	8.8936e-04
405.0	7.3244e-04
405.2	6.1638e-04
405.4	6.5984e-04
405.6	5.3837e-04
405.8	6.9315e-04
406.0	5.3464e-04
406.2	7.2243e-04
406.4	8.4714e-04
406.6	9.3082e-04
406.8	0.00113
407.0	0.00164
407.2	0.00223
407.4	0.00282
407.6	0.00338
407.8	0.00381
408.0	0.00385
408.2	0.00361
408.4	0.00321
408.6	0.00262
408.8	0.00203
409.0	0.00161
409.2	0.0013
409.4	0.00111
409.6	0.0011
409.8	0.00102
410.0	9.5042e-04
410.2	9.6666e-04
410.4	0.00111
410.6	0.00126
410.8	0.00134
411.0	0.00154
411.2	0.00188
411.4	0.0023
411.6	0.00288
411.8	0.00352
412.0	0.00464
412.2	0.006
412.4	0.00792
412.6	0.01042
412.8	0.01389
413.0	0.01822
413.2	0.02348
413.4	0.03
413.6	0.03733
413.8	0.04578
414.0	0.05475
414.2	0.06421
414.4	0.07379
414.6	0.08371
414.8	0.09366
415.0	0.10591
415.2	0.11944
415.4	0.13309
415.6	0.14945
415.8	0.16968
416.0	0.19392
416.2	0.22351
416.4	0.25593
416.6	0.29258
416.8	0.33072
417.0	0.36708
417.2	0.40235
417.4	0.43294
417.6	0.45587
417.8	0.47413
418.0	0.48504
418.2	0.49087
418.4	0.49284
418.6	0.49357
418.8	0.49307
419.0	0.49589
419.2	0.50128
419.4	0.50985
419.6	0.5224
419.8	0.54156
420.0	0.56603
420.2	0.59629
420.4	0.63037
420.6	0.66569
420.8	0.70312
421.0	0.74146
421.2	0.78236
421.4	0.82253
421.6	0.85967
421.8	0.89477
422.0	0.92249
422.2	0.94078
422.4	0.95378
422.6	0.9575
422.8	0.9596
423.0	0.95763
423.2	0.95523
423.4	0.95043
423.6	0.94576
423.8	0.9446
424.0	0.94189
424.2	0.93957
424.4	0.93828
424.6	0.93796
424.8	0.93951
425.0	0.94317
425.2	0.94742
425.4	0.95251
425.6	0.95884
425.8	0.96308
426.0	0.96747
426.2	0.97107
426.4	0.97234
426.6	0.97293
426.8	0.97274
427.0	0.97255
427.2	0.96876
427.4	0.96268
427.6	0.95843
427.8	0.95575
428.0	0.9509
428.2	0.95121
428.4	0.95176
428.6	0.95188
428.8	0.95374
429.0	0.95766
429.2	0.96149
429.4	0.96571
429.6	0.96712
429.8	0.97103
430.0	0.97065
430.2	0.97201
430.4	0.9698
430.6	0.96747
430.8	0.96767
431.0	0.96572
431.2	0.96371
431.4	0.96414
431.6	0.96471
431.8	0.96775
432.0	0.96667
432.2	0.96749
432.4	0.96878
432.6	0.96903
432.8	0.96962
433.0	0.97109
433.2	0.96895
433.4	0.96829
433.6	0.96594
433.8	0.96531
434.0	0.96302
434.2	0.96191
434.4	0.96028
434.6	0.95866
434.8	0.95932
435.0	0.95738
435.2	0.95824
435.4	0.96008
435.6	0.96021
435.8	0.95973
436.0	0.96009
436.2	0.96131
436.4	0.96237
436.6	0.96193
436.8	0.96426
437.0	0.96402
437.2	0.96418
437.4	0.96312
437.6	0.96256
437.8	0.96307
438.0	0.96414
438.2	0.96508
438.4	0.96448
438.6	0.96741
438.8	0.96617
439.0	0.96636
439.2	0.96516
439.4	0.96578
439.6	0.9665
439.8	0.96599
440.0	0.96684
440.2	0.96485
440.4	0.9639
440.6	0.96198
440.8	0.96271
441.0	0.96016
441.2	0.96139
441.4	0.96173
441.6	0.96037
441.8	0.95937
442.0	0.96139
442.2	0.96271
442.4	0.96242
442.6	0.96313
442.8	0.96291
443.0	0.9651
443.2	0.96467
443.4	0.96453
443.6	0.96459
443.8	0.96406
444.0	0.96284
444.2	0.96249
444.4	0.9627
444.6	0.96434
444.8	0.96414
445.0	0.96523
445.2	0.96559
445.4	0.9652
445.6	0.96701
445.8	0.96672
446.0	0.96684
446.2	0.96902
446.4	0.96914
446.6	0.97153
446.8	0.97221
447.0	0.9705
447.2	0.9724
447.4	0.97299
447.6	0.9714
447.8	0.97066
448.0	0.97045
448.2	0.96954
448.4	0.96981
448.6	0.96851
448.8	0.96517
449.0	0.96448
449.2	0.96327
449.4	0.96183
449.6	0.96223
449.8	0.96137
450.0	0.9622
450.2	0.96129
450.4	0.96034
450.6	0.95927
450.8	0.96062
451.0	0.96073
451.2	0.96227
451.4	0.96178
451.6	0.96138
451.8	0.96116
452.0	0.96044
452.2	0.95982
452.4	0.95989
452.6	0.95991
452.8	0.96341
453.0	0.9633
453.2	0.96524
453.4	0.96726
453.6	0.96941
453.8	0.9715
454.0	0.97256
454.2	0.97463
454.4	0.97539
454.6	0.97394
454.8	0.97339
455.0	0.97063
455.2	0.96853
455.4	0.96565
455.6	0.96418
455.8	0.96354
456.0	0.96162
456.2	0.96297
456.4	0.96397
456.6	0.96365
456.8	0.96516
457.0	0.96541
457.2	0.96292
457.4	0.9633
457.6	0.96127
457.8	0.95983
458.0	0.95694
458.2	0.95514
458.4	0.95479
458.6	0.95124
458.8	0.95071
459.0	0.9498
459.2	0.95108
459.4	0.9553
459.6	0.95409
459.8	0.95686
460.0	0.95913
460.2	0.9617
460.4	0.96304
460.6	0.96527
460.8	0.96425
461.0	0.96481
461.2	0.96349
461.4	0.96225
461.6	0.96167
461.8	0.95967
462.0	0.9603
462.2	0.95975
462.4	0.95903
462.6	0.95626
462.8	0.95391
463.0	0.94987
463.2	0.94271
463.4	0.93387
463.6	0.92379
463.8	0.91088
464.0	0.8947
464.2	0.87604
464.4	0.85695
464.6	0.83743
464.8	0.81447
465.0	0.78591
465.2	0.75317
465.4	0.72316
465.6	0.69454
465.8	0.66438
466.0	0.62951
466.2	0.58955
466.4	0.54426
466.6	0.49136
466.8	0.4333
467.0	0.37119
467.2	0.30937
467.4	0.24936
467.6	0.19439
467.8	0.14747
468.0	0.11
468.2	0.08146
468.4	0.06048
468.6	0.0456
468.8	0.0349
469.0	0.02735
469.2	0.02175
469.4	0.01777
469.6	0.01475
469.8	0.01253
470.0	0.01088
470.2	0.00961
470.4	0.00866
470.6	0.0081
470.8	0.00748
471.0	0.00717
471.2	0.0071
471.4	0.00707
471.6	0.00708
471.8	0.00724
472.0	0.00755
472.2	0.00776
472.4	0.00809
472.6	0.00814
472.8	0.00818
473.0	0.00792
473.2	0.00747
473.4	0.0069
473.6	0.00612
473.8	0.00538
474.0	0.00456
474.2	0.00373
474.4	0.00322
474.6	0.00259
474.8	0.00219
475.0	0.00177
475.2	0.00146
475.4	0.00124
475.6	0.00114
475.8	0.001
476.0	9.4337e-04
476.2	8.3288e-04
476.4	8.0151e-04
476.6	7.8217e-04
476.8	7.9207e-04
477.0	7.9505e-04
477.2	8.2364e-04
477.4	8.5117e-04
477.6	9.4515e-04
477.8	0.00104
478.0	0.00121
478.2	0.0015
478.4	0.00196
478.6	0.00264
478.8	0.00355
479.0	0.00455
479.2	0.00534
479.4	0.00574
479.6	0.00601
479.8	0.00579
480.0	0.0053
480.2	0.00449
480.4	0.0036
480.6	0.00257
480.8	0.00171
481.0	0.00117
481.2	7.9006e-04
481.4	6.4258e-04
481.6	4.8458e-04
481.8	4.4034e-04
482.0	3.8211e-04
482.2	3.0989e-04
482.4	2.7534e-04
482.6	3.0238e-04
482.8	2.9307e-04
483.0	2.6599e-04
483.2	2.6061e-04
483.4	2.3526e-04
483.6	2.0613e-04
483.8	1.9879e-04
484.0	1.8079e-04
484.2	1.8731e-04
484.4	2.1563e-04
484.6	2.0201e-04
484.8	2.4619e-04
485.0	1.9805e-04
485.2	2.0738e-04
485.4	2.3849e-04
485.6	2.2083e-04
485.8	2.6409e-04
486.0	2.6055e-04
486.2	2.6806e-04
486.4	2.8583e-04
486.6	3.1772e-04
486.8	3.3213e-04
487.0	3.7371e-04
487.2	4.2569e-04
487.4	4.3911e-04
487.6	5.1113e-04
487.8	5.9044e-04
488.0	7.0672e-04
488.2	8.6559e-04
488.4	9.7384e-04
488.6	0.00117
488.8	0.00147
489.0	0.00179
489.2	0.00231
489.4	0.00292
489.6	0.0036
489.8	0.00439
490.0	0.00527
490.2	0.00627
490.4	0.00728
490.6	0.00828
490.8	0.00921
491.0	0.01006
491.2	0.01077
491.4	0.01147
491.6	0.01205
491.8	0.01254
492.0	0.01307
492.2	0.01363
492.4	0.0142
492.6	0.01514
492.8	0.01624
493.0	0.01774
493.2	0.0197
493.4	0.02229
493.6	0.0256
493.8	0.02981
494.0	0.03524
494.2	0.04231
494.4	0.05155
494.6	0.06347
494.8	0.07799
495.0	0.09664
495.2	0.11939
495.4	0.14574
495.6	0.17584
495.8	0.20886
496.0	0.24321
496.2	0.27887
496.4	0.31347
496.6	0.34767
496.8	0.37897
497.0	0.40656
497.2	0.42983
497.4	0.44861
497.6	0.4643
497.8	0.47763
498.0	0.48711
