Typical Measured Spectrum of Semrock FF01-515/588/700 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
290.0	4.473e-07
290.2	4.4148e-07
290.4	4.3574e-07
290.6	4.3007e-07
290.8	4.2448e-07
291.0	4.1896e-07
291.2	4.1351e-07
291.4	4.0813e-07
291.6	4.0282e-07
291.8	3.9758e-07
292.0	3.9241e-07
292.2	3.873e-07
292.4	3.8226e-07
292.6	3.7729e-07
292.8	3.7238e-07
293.0	3.6919e-07
293.2	3.7307e-07
293.4	3.7698e-07
293.6	3.8095e-07
293.8	3.8495e-07
294.0	3.8899e-07
294.2	3.9308e-07
294.4	3.9721e-07
294.6	4.0138e-07
294.8	4.056e-07
295.0	4.0986e-07
295.2	4.5405e-07
295.4	5.0301e-07
295.6	5.5725e-07
295.8	6.1734e-07
296.0	6.839e-07
296.2	7.5765e-07
296.4	8.3934e-07
296.6	9.2985e-07
296.8	1.0301e-06
297.0	1.1412e-06
297.2	1.2642e-06
297.4	1.4006e-06
297.6	1.5516e-06
297.8	1.7189e-06
298.0	1.8963e-06
298.2	1.9947e-06
298.4	2.0982e-06
298.6	2.207e-06
298.8	2.3215e-06
299.0	2.4419e-06
299.2	2.5685e-06
299.4	2.7018e-06
299.6	2.8419e-06
299.8	2.9893e-06
300.0	3.1443e-06
300.2	3.3074e-06
300.4	3.479e-06
300.6	3.6594e-06
300.8	3.8492e-06
301.0	4.0489e-06
301.2	4.2589e-06
301.4	4.4798e-06
301.6	4.7122e-06
301.8	4.7362e-06
302.0	4.482e-06
302.2	4.2414e-06
302.4	4.0137e-06
302.6	3.7982e-06
302.8	3.5943e-06
303.0	3.4013e-06
303.2	3.2187e-06
303.4	3.0459e-06
303.6	2.8824e-06
303.8	2.7276e-06
304.0	2.5812e-06
304.2	2.4426e-06
304.4	2.3115e-06
304.6	2.1874e-06
304.8	2.07e-06
305.0	1.9588e-06
305.2	2.3617e-06
305.4	2.8475e-06
305.6	3.2363e-06
305.8	3.0349e-06
306.0	2.8461e-06
306.2	2.669e-06
306.4	2.5029e-06
306.6	2.3472e-06
306.8	2.2012e-06
307.0	2.0642e-06
307.2	1.9358e-06
307.4	1.8153e-06
307.6	1.7024e-06
307.8	1.5964e-06
308.0	1.4971e-06
308.2	1.404e-06
308.4	1.3166e-06
308.6	1.2347e-06
308.8	1.1579e-06
309.0	1.0858e-06
309.2	1.0182e-06
309.4	1.065e-06
309.6	1.2117e-06
309.8	1.3785e-06
310.0	1.5683e-06
310.2	1.7842e-06
310.4	2.0298e-06
310.6	2.3093e-06
310.8	2.6272e-06
311.0	2.9889e-06
311.2	3.4004e-06
311.4	3.8686e-06
311.6	4.4012e-06
311.8	5.0071e-06
312.0	5.6965e-06
312.2	6.4808e-06
312.4	7.373e-06
312.6	8.3881e-06
312.8	9.543e-06
313.0	1.0857e-05
313.2	9.9904e-06
313.4	8.9906e-06
313.6	8.0909e-06
313.8	7.2812e-06
314.0	6.5525e-06
314.2	5.8968e-06
314.4	5.3067e-06
314.6	4.7756e-06
314.8	4.2977e-06
315.0	3.8676e-06
315.2	3.4806e-06
315.4	3.1323e-06
315.6	2.8188e-06
315.8	2.5367e-06
316.0	2.2829e-06
316.2	2.0544e-06
316.4	1.8488e-06
316.6	1.6638e-06
316.8	1.5038e-06
317.0	1.3769e-06
317.2	1.2608e-06
317.4	1.1544e-06
317.6	1.057e-06
317.8	9.6785e-07
318.0	8.862e-07
318.2	8.1144e-07
318.4	7.4298e-07
318.6	6.8031e-07
318.8	6.2291e-07
319.0	5.7036e-07
319.2	5.2225e-07
319.4	4.7819e-07
319.6	4.3785e-07
319.8	4.0091e-07
320.0	3.6709e-07
320.2	3.3612e-07
320.4	3.0776e-07
320.6	3.0389e-07
320.8	3.1521e-07
321.0	3.2695e-07
321.2	3.3913e-07
321.4	3.5177e-07
321.6	3.6487e-07
321.8	3.7846e-07
322.0	3.9256e-07
322.2	4.0719e-07
322.4	4.2236e-07
322.6	4.381e-07
322.8	4.5442e-07
323.0	4.7135e-07
323.2	4.8891e-07
323.4	5.0712e-07
323.6	5.2601e-07
323.8	5.4561e-07
324.0	5.6594e-07
324.2	5.8702e-07
324.4	5.6188e-07
324.6	5.3625e-07
324.8	5.1179e-07
325.0	4.8845e-07
325.2	4.6617e-07
325.4	4.449e-07
325.6	4.2461e-07
325.8	4.0524e-07
326.0	3.8676e-07
326.2	3.6912e-07
326.4	3.5228e-07
326.6	3.3621e-07
326.8	3.2087e-07
327.0	3.0624e-07
327.2	2.9227e-07
327.4	2.7894e-07
327.6	2.6621e-07
327.8	2.5407e-07
328.0	2.5174e-07
328.2	2.6869e-07
328.4	2.8679e-07
328.6	3.061e-07
328.8	3.2671e-07
329.0	3.4871e-07
329.2	3.7219e-07
329.4	3.9725e-07
329.6	4.24e-07
329.8	4.5255e-07
330.0	4.8303e-07
330.2	5.1555e-07
330.4	5.5027e-07
330.6	5.8733e-07
330.8	6.2687e-07
331.0	6.6909e-07
331.2	7.1414e-07
331.4	7.6223e-07
331.6	8.1356e-07
331.8	8.8843e-07
332.0	9.793e-07
332.2	1.0795e-06
332.4	1.1899e-06
332.6	1.3116e-06
332.8	1.4457e-06
333.0	1.5936e-06
333.2	1.7566e-06
333.4	1.9363e-06
333.6	2.1343e-06
333.8	2.3526e-06
334.0	2.5932e-06
334.2	2.8585e-06
334.4	3.1508e-06
334.6	3.4731e-06
334.8	3.8284e-06
335.0	4.2199e-06
335.2	5.1704e-06
335.4	6.3349e-06
335.6	6.9454e-06
335.8	5.6387e-06
336.0	4.5779e-06
336.2	3.7166e-06
336.4	3.0174e-06
336.6	2.4497e-06
336.8	1.9889e-06
337.0	1.6147e-06
337.2	1.3109e-06
337.4	1.0643e-06
337.6	8.6406e-07
337.8	7.015e-07
338.0	5.6952e-07
338.2	4.6238e-07
338.4	3.7539e-07
338.6	3.0477e-07
338.8	2.4743e-07
339.0	2.0088e-07
339.2	1.6309e-07
339.4	1.5027e-07
339.6	1.4914e-07
339.8	1.4802e-07
340.0	1.4691e-07
340.2	1.4581e-07
340.4	1.4472e-07
340.6	1.4363e-07
340.8	1.4255e-07
341.0	1.4148e-07
341.2	1.4042e-07
341.4	1.3937e-07
341.6	1.3832e-07
341.8	1.3729e-07
342.0	1.3626e-07
342.2	1.3524e-07
342.4	1.3422e-07
342.6	1.3321e-07
342.8	1.3221e-07
343.0	1.3122e-07
343.2	1.5052e-07
343.4	1.7266e-07
343.6	1.9806e-07
343.8	2.2719e-07
344.0	2.606e-07
344.2	2.9893e-07
344.4	3.429e-07
344.6	3.9333e-07
344.8	4.5118e-07
345.0	5.1754e-07
345.2	5.9366e-07
345.4	6.8098e-07
345.6	7.8114e-07
345.8	8.9602e-07
346.0	1.0278e-06
346.2	1.179e-06
346.4	1.3524e-06
346.6	1.5513e-06
346.8	1.6e-06
347.0	1.3875e-06
347.2	1.2032e-06
347.4	1.0434e-06
347.6	9.0478e-07
347.8	7.846e-07
348.0	6.8038e-07
348.2	5.9e-07
348.4	5.1164e-07
348.6	4.4368e-07
348.8	3.8474e-07
349.0	3.3364e-07
349.2	2.8932e-07
349.4	2.5089e-07
349.6	2.1757e-07
349.8	1.8867e-07
350.0	1.6361e-07
350.2	1.4187e-07
350.4	1.2303e-07
350.6	1.2785e-07
350.8	1.4046e-07
351.0	1.5431e-07
351.2	1.6953e-07
351.4	1.8625e-07
351.6	2.0462e-07
351.8	2.248e-07
352.0	2.4696e-07
352.2	2.7132e-07
352.4	2.9808e-07
352.6	3.2747e-07
352.8	3.5977e-07
353.0	3.9524e-07
353.2	4.3422e-07
353.4	4.7704e-07
353.6	5.2409e-07
353.8	5.7577e-07
354.0	6.3255e-07
354.2	6.891e-07
354.4	7.1699e-07
354.6	7.4601e-07
354.8	7.7621e-07
355.0	8.0763e-07
355.2	8.4032e-07
355.4	8.7433e-07
355.6	9.0972e-07
355.8	9.4654e-07
356.0	9.8485e-07
356.2	1.0247e-06
356.4	1.0662e-06
356.6	1.1093e-06
356.8	1.1542e-06
357.0	1.201e-06
357.2	1.2496e-06
357.4	1.3002e-06
357.6	1.3528e-06
357.8	1.4075e-06
358.0	1.4528e-06
358.2	1.4898e-06
358.4	1.5279e-06
358.6	1.5668e-06
358.8	1.6068e-06
359.0	1.6478e-06
359.2	1.6899e-06
359.4	1.733e-06
359.6	1.7772e-06
359.8	1.8226e-06
360.0	1.8691e-06
360.2	1.9168e-06
360.4	1.9657e-06
360.6	2.0158e-06
360.8	2.0673e-06
361.0	2.12e-06
361.2	2.1741e-06
361.4	2.2296e-06
361.6	2.2865e-06
361.8	2.0027e-06
362.0	1.7442e-06
362.2	1.5191e-06
362.4	1.323e-06
362.6	1.1522e-06
362.8	1.0035e-06
363.0	8.7394e-07
363.2	7.6113e-07
363.4	6.6288e-07
363.6	5.7731e-07
363.8	5.0279e-07
364.0	4.3789e-07
364.2	3.8136e-07
364.4	3.3214e-07
364.6	2.8926e-07
364.8	2.5192e-07
365.0	2.194e-07
365.2	2.0233e-07
365.4	1.8658e-07
365.6	1.7206e-07
365.8	1.5867e-07
366.0	1.4632e-07
366.2	1.3494e-07
366.4	1.2443e-07
366.6	1.1475e-07
366.8	1.0582e-07
367.0	1.008e-07
367.2	1.0061e-07
367.4	1.0043e-07
367.6	1.0024e-07
367.8	1.0005e-07
368.0	9.9864e-08
368.2	9.9677e-08
368.4	9.949e-08
368.6	9.9304e-08
368.8	9.9118e-08
369.0	9.8933e-08
369.2	9.8747e-08
369.4	9.8563e-08
369.6	9.8378e-08
369.8	9.8194e-08
370.0	9.801e-08
370.2	9.7827e-08
370.4	9.7644e-08
370.6	9.7461e-08
370.8	1.0833e-07
371.0	1.24e-07
371.2	1.4194e-07
371.4	1.6249e-07
371.6	1.86e-07
371.8	2.1291e-07
372.0	2.4372e-07
372.2	2.7899e-07
372.4	3.1936e-07
372.6	3.6558e-07
372.8	4.1848e-07
373.0	4.7904e-07
373.2	5.4836e-07
373.4	6.2771e-07
373.6	7.1854e-07
373.8	8.2252e-07
374.0	9.4155e-07
374.2	1.0778e-06
374.4	1.1862e-06
374.6	1.0699e-06
374.8	9.6509e-07
375.0	8.7051e-07
375.2	7.852e-07
375.4	7.0825e-07
375.6	6.3884e-07
375.8	5.7623e-07
376.0	5.1976e-07
376.2	4.6883e-07
376.4	4.2288e-07
376.6	3.8144e-07
376.8	3.4406e-07
377.0	3.1034e-07
377.2	2.7992e-07
377.4	2.5249e-07
377.6	2.2775e-07
377.8	2.0543e-07
378.0	1.853e-07
378.2	1.7295e-07
378.4	1.659e-07
378.6	1.5915e-07
378.8	1.5267e-07
379.0	1.4645e-07
379.2	1.4049e-07
379.4	1.3477e-07
379.6	1.2928e-07
379.8	1.2401e-07
380.0	1.1896e-07
380.2	1.1412e-07
380.4	1.0947e-07
380.6	1.0501e-07
380.8	1.0074e-07
381.0	9.6635e-08
381.2	9.27e-08
381.4	8.8925e-08
381.6	8.5304e-08
381.8	8.183e-08
382.0	9.1486e-08
382.2	1.0302e-07
382.4	1.1601e-07
382.6	1.3064e-07
382.8	1.4711e-07
383.0	1.6566e-07
383.2	1.8654e-07
383.4	2.1007e-07
383.6	2.3655e-07
383.8	2.6638e-07
384.0	2.9996e-07
384.2	3.3779e-07
384.4	3.8038e-07
384.6	4.2834e-07
384.8	4.8234e-07
385.0	5.4316e-07
385.2	6.1165e-07
385.4	6.8877e-07
385.6	7.0928e-07
385.8	6.2306e-07
386.0	5.4733e-07
386.2	4.808e-07
386.4	4.2236e-07
386.6	3.7102e-07
386.8	3.2593e-07
387.0	2.8631e-07
387.2	2.5151e-07
387.4	2.2094e-07
387.6	1.9408e-07
387.8	1.7049e-07
388.0	1.4977e-07
388.2	1.3157e-07
388.4	1.1557e-07
388.6	1.0153e-07
388.8	8.9185e-08
389.0	7.8345e-08
389.2	6.8822e-08
389.4	6.3527e-08
389.6	5.9489e-08
389.8	5.5708e-08
390.0	5.2167e-08
390.2	4.8851e-08
390.4	4.5746e-08
390.6	4.2838e-08
390.8	4.0115e-08
391.0	3.7565e-08
391.2	3.5178e-08
391.4	3.2942e-08
391.6	3.0848e-08
391.8	2.8887e-08
392.0	2.7051e-08
392.2	2.6746e-08
392.4	2.6444e-08
392.6	2.6145e-08
392.8	2.585e-08
393.0	2.5556e-08
393.2	2.5264e-08
393.4	2.4974e-08
393.6	2.4688e-08
393.8	2.4406e-08
394.0	2.4126e-08
394.2	2.385e-08
394.4	2.3577e-08
394.6	2.3307e-08
394.8	2.304e-08
395.0	2.2776e-08
395.2	2.2515e-08
395.4	2.2257e-08
395.6	2.2003e-08
395.8	2.1751e-08
396.0	2.1501e-08
396.2	2.1255e-08
396.4	2.1012e-08
396.6	2.0771e-08
396.8	2.0563e-08
397.0	2.0359e-08
397.2	2.0158e-08
397.4	1.9958e-08
397.6	1.976e-08
397.8	1.9564e-08
398.0	1.937e-08
398.2	1.9178e-08
398.4	1.8988e-08
398.6	1.88e-08
398.8	1.8614e-08
399.0	1.8429e-08
399.2	1.8247e-08
399.4	1.8066e-08
399.6	1.7887e-08
399.8	1.771e-08
400.0	1.7534e-08
400.2	1.736e-08
400.4	1.7189e-08
400.6	1.7022e-08
400.8	1.6856e-08
401.0	1.6692e-08
401.2	1.653e-08
401.4	1.6369e-08
401.6	1.621e-08
401.8	1.6052e-08
402.0	1.5895e-08
402.2	1.5741e-08
402.4	1.5587e-08
402.6	1.5436e-08
402.8	1.5285e-08
403.0	1.5137e-08
403.2	1.4989e-08
403.4	1.4843e-08
403.6	1.4699e-08
403.8	1.4556e-08
404.0	1.4414e-08
404.2	1.4285e-08
404.4	1.416e-08
404.6	1.4037e-08
404.8	1.3914e-08
405.0	1.3793e-08
405.2	1.3673e-08
405.4	1.3553e-08
405.6	1.3435e-08
405.8	1.3318e-08
406.0	1.3202e-08
406.2	1.3087e-08
406.4	1.2973e-08
406.6	1.2859e-08
406.8	1.2747e-08
407.0	1.2636e-08
407.2	1.2526e-08
407.4	1.2417e-08
407.6	1.2308e-08
407.8	1.2204e-08
408.0	1.211e-08
408.2	1.2017e-08
408.4	1.1924e-08
408.6	1.1833e-08
408.8	1.1741e-08
409.0	1.1651e-08
409.2	1.1562e-08
409.4	1.1473e-08
409.6	1.1384e-08
409.8	1.1297e-08
410.0	1.121e-08
410.2	1.1124e-08
410.4	1.1038e-08
410.6	1.0953e-08
410.8	1.0869e-08
411.0	1.0785e-08
411.2	1.0702e-08
411.4	1.062e-08
411.6	1.1481e-08
411.8	1.2959e-08
412.0	1.4627e-08
412.2	1.651e-08
412.4	1.8635e-08
412.6	2.1034e-08
412.8	2.3742e-08
413.0	2.6798e-08
413.2	3.0247e-08
413.4	3.4141e-08
413.6	3.8536e-08
413.8	4.3496e-08
